ti	ka-tsə́s	kɐ-tsʰəʔ,<tsʰît	*ts[h]ij/*tij?	说	dire		諮	*tsij	ij	1	
tɯ-di		tə́-ʎɟə	*lij	箭	flèche		矢	*lhilʔ	ij		
si	kə-ɕî	kɐ-səʔ,sə́t	*sij	死	mourir	ɕi	死	*sijʔ	ij		
tɤ-wi	tɤ-wí		*wij	祖母	grand-mère		妣	*pijʔ	ij	1	
mbi	ka-wə̂	kɐ-mbəʔ	*bij	给	donner	sbjin	畀	*pij-s	ij		
ʁnɯz	kə-nês	ʁnîs	*qnis	二	deux	gɲis	二	*nij-s	ij		
tɯ-rtsɤɣ			*rts[ɐ,e]k	一节	section, articulation	tsʰigs	節	*tsik	ik		
zrɯɣ			*srək	虱子	pou	ɕig	蝨	*srik	ik		
ɕɤɣ	kə-ɕə́k		*ɕɐk	新	nouveau		新	*siŋ	iŋ		
si	ɕé		*sij	树	arbre	ɕiŋ	薪	*siŋ	iŋ		
tɯ-ji		tə-ji	*ljij	田	champs	ʑiŋ-ka	田	*ˁliŋ	iŋ		
tɯ-sni	tə-ɕné	tə-sneʔ	*(s,ɕ)nij	心脏	coeur	sɲiŋ	身	*hniŋ	iŋ		
qa-ndʐe		ʁɐ-ndʑeʔ	*n-rej	蚯蚓	lombric	sril	蚓	*lir	ir		
kɯɕnɯz	kə-ɕnə́s	kə-snâs	*ɕnis	七	sept		七	*s-hnit	it		
aʁdɤt		kɐ-ʁʎdɣêt,ʁʎdɣə́t	*q-tlet	跌倒	glisser		躓	*tr-lit-s	it	1	
mi	kɐ-rmék		*[r]mik	灭火	détruire		滅	*mit	it		
pɣɤkhɯ	pkakʰú	pu-ku	*khu	猫头鹰	hibou		梟	*ˁkiw	iw		
amdzɯ		kɐ-mdzoʔ	*mdzu	坐	s'asseoir		坐	*ˁdzoʔ	o		
tɯ-nɯ	tə-nú	tə-nôx	*nu[k]	乳􁠓	sein	nu-ma	乳	*noʔ	o		
tɯ-ku	ta-kó	tə-kuʔ	*ko	头	tête	mgo	后	*ˁgoʔ	o		
tɯ-pu	tə-pô		*po	肠子	intestin	pʰo-ba	腑	*poʔ	o		
